,NAME,ROUNDS,SCORING,FWY_%,GIR_%,UD_%,SS_%,SCRAM_%,PUTTS,1PUTT_%,2PUTT_%,3PUTT_%,SGP,BB,PAR3,PAR4,PAR5,YEAR
0,Conner O'Neil,20,72,0.62,0.65,0.61,0.52,0.42,29.2,0.4,0.56,0.04,0.36,0.15,3.05,4.09,4.82,2017
1,Rob Wuethrich,25,73.04,0.62,0.66,0.51,0.49,0.35,31.16,0.31,0.64,0.05,-0.47,0.17,3.18,4.15,4.8,2017
2,Drew Pershing,10,73.3,0.51,0.6,0.56,0.51,0.55,29.6,0.37,0.6,0.03,-0.68,0.21,3.23,4.16,4.82,2017
3,Daniel Cole,12,73.42,0.54,0.55,0.59,0.46,0.2,30.8,0.34,0.6,0.06,-1.75,0.14,3.16,4.12,5.05,2017
4,Ben Johnson,21,73.52,0.58,0.64,0.56,0.46,0.35,30.33,0.35,0.61,0.04,-0.92,0.21,3.05,4.2,4.91,2017
5,Skylar Le Vine,13,74.38,0.55,0.58,0.58,0.48,0.38,30.23,0.35,0.58,0.07,-1.42,0.19,3.13,4.25,4.88,2017
6,Jonathan Nocek,18,74.56,0.73,0.68,0.35,0.35,0.17,32.83,0.25,0.69,0.07,-1.33,0.2,3.34,4.2,4.9,2017
7,Justin Park,5,75,0.59,0.67,0.38,0.4,0.5,32.4,0.27,0.67,0.07,-2.25,0.08,3.38,4.24,4.8,2017
8,Michael Holtz,5,75.2,0.61,0.52,0.63,0.53,0.22,29.2,0.42,0.53,0.04,-0.08,0.17,3.3,4.27,4.89,2017
9,Andrew Abel,14,75.43,0.63,0.6,0.51,0.4,0.33,31.5,0.3,0.64,0.06,-1.9,0.15,3.35,4.25,4.94,2017
10,Ben Johnson,32,72.38,0.56,0.66,0.57,0.53,0.47,30.13,0.36,0.59,0.06,-1.22,0.2,3.26,4.07,4.74,2018
11,Drew Pershing,32,72.5,0.55,0.63,0.53,0.5,0.34,29.59,0.37,0.6,0.03,-0.97,0.15,3.24,4.07,4.81,2018
12,Rob Wuethrich,32,72.69,0.54,0.65,0.47,0.46,0.38,30.78,0.32,0.63,0.05,-1.98,0.14,3.2,4.11,4.78,2018
13,Andrew Abel,32,73.19,0.63,0.68,0.48,0.47,0.23,31.47,0.3,0.64,0.06,-2.22,0.15,3.28,4.12,4.83,2018
14,Jonathan Nocek,25,74.04,0.56,0.64,0.6,0.48,0.54,31.12,0.32,0.62,0.06,-0.96,0.14,3.31,4.14,4.91,2018
15,Skylar Le Vine,27,74.19,0.57,0.61,0.59,0.49,0.54,30.85,0.33,0.62,0.05,-1.3,0.19,3.23,4.2,4.86,2018
16,Justin Park,25,74.28,0.61,0.63,0.54,0.45,0.56,31.16,0.3,0.63,0.07,-1.88,0.12,3.2,4.18,4.98,2018
17,Jimmy Morton,28,74.54,0.51,0.62,0.49,0.43,0.48,31.29,0.33,0.61,0.06,-2.54,0.19,3.29,4.22,4.91,2018
18,Michael Holtz,16,74.63,0.59,0.62,0.57,0.54,0.25,30.81,0.36,0.57,0.07,-1.09,0.08,3.41,4.18,4.91,2018
19,Will Nummy,23,76.61,0.53,0.59,0.43,0.34,0.36,32.09,0.28,0.65,0.07,-2.02,0.11,3.37,4.35,4.99,2018
20,Carl Christiansen,22,77,0.42,0.51,0.52,0.44,0.29,30.68,0.37,0.54,0.09,-2.42,0.16,3.33,4.38,5.04,2018
21,Rob Wuethrich,20,69.8,0.58,0.72,0.68,0.66,0.59,29.45,0.38,0.59,0.03,-0.12,0.22,2.99,3.94,4.71,2019
22,Skylar Le Vine,20,72.25,0.62,0.65,0.57,0.5,0.48,30,0.37,0.59,0.04,-0.79,0.2,3.05,4.15,4.74,2019
23,Jimmy Morton,19,72.26,0.55,0.66,0.63,0.53,0.42,30.37,0.35,0.6,0.05,-0.99,0.15,3.14,4.12,4.7,2019
24,Andrew Abel,19,72.53,0.53,0.69,0.5,0.45,0.39,30.63,0.35,0.6,0.05,-1.61,0.14,3.12,4.1,4.87,2019
25,Carl Christiansen,18,73,0.51,0.67,0.53,0.47,0.58,31,0.33,0.61,0.06,-1.71,0.15,3.12,4.15,4.86,2019
26,Jonathan Nocek,16,73.25,0.58,0.64,0.54,0.41,0.32,31,0.35,0.57,0.08,-1.38,0.21,3.24,4.2,4.65,2019
27,Bobby Beaubien,15,73.8,0.68,0.57,0.6,0.55,0.33,30.13,0.34,0.62,0.04,-1.96,0.12,3.33,4.17,4.78,2019
28,Will Nummy,15,74.07,0.5,0.64,0.51,0.43,0.43,31.73,0.28,0.65,0.06,-2.14,0.2,3.29,4.2,4.82,2019
29,Justin Park,10,74.3,0.46,0.58,0.51,0.49,0,30.7,0.33,0.61,0.06,-1.06,0.13,3.1,4.2,5.06,2019
30,Austin Jump,12,74.58,0.52,0.58,0.53,0.46,0.46,30.75,0.35,0.59,0.07,-3.24,0.14,3.4,4.19,4.86,2019
31,Daniel Cole,11,74.64,0.55,0.65,0.55,0.39,0.5,32.45,0.29,0.61,0.1,-3.54,0.12,3.47,4.09,5.08,2019